pin,slack
test_0/uGEN_DDS/U100/UCORD/x[8][38]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[8][38]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[8][38]:D,
test_0/uGEN_DDS/U100/UCORD/x[8][38]:Q,
test_0/uGEN_DDS/U100/UCORD/_l5.x[6]_4_cry_20:A,
test_0/uGEN_DDS/U100/UCORD/_l5.x[6]_4_cry_20:B,
test_0/uGEN_DDS/U100/UCORD/_l5.x[6]_4_cry_20:C,
test_0/uGEN_DDS/U100/UCORD/_l5.x[6]_4_cry_20:FCI,
test_0/uGEN_DDS/U100/UCORD/_l5.x[6]_4_cry_20:FCO,
test_0/uGEN_DDS/U100/UCORD/_l5.x[6]_4_cry_20:S,
test_0/UADC/clkd16_inferred_clock_RNI61L/U0:An,
test_0/UADC/clkd16_inferred_clock_RNI61L/U0:YWn,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_24:A,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_24:B,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_24:FCI,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_24:FCO,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_24:S,
test_0/uGEN_DDS/U100/UCORD/y[19][0]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[19][0]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[19][0]:D,
test_0/uGEN_DDS/U100/UCORD/y[19][0]:Q,
test_0/uGEN_DDS/U100/WideMult_1/U0/FF_10:IPCLKn,
test_0/uGEN_DDS/U100/WideMult_1/U0/FF_10:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l22.x[23]_4_cry_18:A,
test_0/uGEN_DDS/U100/UCORD/_l22.x[23]_4_cry_18:B,
test_0/uGEN_DDS/U100/UCORD/_l22.x[23]_4_cry_18:C,
test_0/uGEN_DDS/U100/UCORD/_l22.x[23]_4_cry_18:FCI,
test_0/uGEN_DDS/U100/UCORD/_l22.x[23]_4_cry_18:FCO,
test_0/uGEN_DDS/U100/UCORD/_l22.x[23]_4_cry_18:S,
test_0/uGEN_DDS/U100/UCORD/z[23][11]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[23][11]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[23][11]:D,
test_0/uGEN_DDS/U100/UCORD/z[23][11]:Q,
test_0/uGEN_DDS/U100/UCORD/y[2][21]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[2][21]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[2][21]:D,
test_0/uGEN_DDS/U100/UCORD/y[2][21]:Q,
test_0/uGEN_DDS/U100/UCORD/_l20.y[21]_4_cry_22:A,
test_0/uGEN_DDS/U100/UCORD/_l20.y[21]_4_cry_22:B,
test_0/uGEN_DDS/U100/UCORD/_l20.y[21]_4_cry_22:C,
test_0/uGEN_DDS/U100/UCORD/_l20.y[21]_4_cry_22:FCI,
test_0/uGEN_DDS/U100/UCORD/_l20.y[21]_4_cry_22:FCO,
test_0/uGEN_DDS/U100/UCORD/_l20.y[21]_4_cry_22:S,
test_0/uGEN_DDS/U100/UCORD/y[11][20]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[11][20]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[11][20]:D,
test_0/uGEN_DDS/U100/UCORD/y[11][20]:Q,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:A,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:B,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:C,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:FCI,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:FCO,
