Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Math (18x18),PLLs and CCCs,Chip Globals,HPMS,CAN,HS USB
Primitives/Primitives,1,0,0,0,15,0,0,1,0,0,0
test_0/Primitives,5,4,0,0,40,0,0,3,0,0,0
test_0/UADC/Primitives,10,13,0,0,0,0,0,1,0,0,0
test_0/u100/Primitives,497,180,0,0,0,0,0,2,0,0,0
test_0/u100/UADC/Primitives,173,211,0,0,0,0,0,0,0,0,0
test_0/u100/UADC_GEAR/Primitives,13,9,0,0,0,0,0,0,0,0,0
test_0/u100/UCRC/Primitives,2,7,0,0,0,0,0,0,0,0,0
test_0/u100/UD100/Primitives,222,138,0,0,0,0,0,1,0,0,0
test_0/u100/UD100/UCRC0/Primitives,3,16,0,0,0,0,0,0,0,0,0
test_0/u100/UD100/UCRC1/Primitives,3,16,0,0,0,0,0,0,0,0,0
test_0/u100/UD100/UCRC2/Primitives,3,16,0,0,0,0,0,0,0,0,0
test_0/u100/UD100/UCRC3/Primitives,3,16,0,0,0,0,0,0,0,0,0
test_0/u100/uctrl/Primitives,1,0,0,0,0,0,0,0,0,0,0
test_0/u100/uctrl/ufifo/Primitives,0,5,0,0,0,0,0,0,0,0,0
test_0/uGEN_DDS/Primitives,28,53,0,0,0,0,0,0,0,0,0
test_0/uGEN_DDS/U100/Primitives,104,206,0,0,0,0,0,2,0,0,0
test_0/uGEN_DDS/U100/UCORD/Primitives,3446,3400,0,0,0,0,0,0,0,0,0
test_0/uGEN_DDS/U100/WideMult_0/Primitives,0,0,216,216,0,6,0,0,0,0,0
test_0/uGEN_DDS/U100/WideMult_0_0/Primitives,0,0,216,216,0,6,0,0,0,0,0
test_0/u_pcm_tx/Primitives,75,71,0,0,0,0,0,1,0,0,0
u8_sb_0/CCC_0/Primitives,0,0,0,0,0,0,1,1,0,0,0
u8_sb_0/CORERESETP_0/Primitives,2,10,0,0,0,0,0,1,0,0,0
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,8,20,0,0,0,0,0,0,0,0,0
u8_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/Primitives,23,1,0,0,0,0,0,0,0,0,0
u8_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/slave_arbiter/Primitives,15,5,0,0,0,0,0,0,0,0,0
u8_sb_0/u8_sb_HPMS_0/Primitives,0,0,0,0,0,0,0,0,1,0,0
