
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. u8, 4554, 1176, 3556, 0, 12, 0, 0, 12, 55
.	. test, 4518, 1097, 3556, 0, 12, 0, 0, 8, 40
.	.	. GEN_DDS, 3659, 161, 3388, 0, 12, 0, 0, 2, 0
.	.	.	. wavegen, 3606, 153, 3368, 0, 12, 0, 0, 2, 0
.	.	.	.	. cordic, 3400, 60, 3357, 0, 0, 0, 0, 0, 0
.	.	. adc96, 13, 10, 0, 0, 0, 0, 0, 1, 0
.	.	. pcm_tx, 71, 69, 6, 0, 0, 0, 0, 1, 0
.	.	. sdtop, 678, 826, 133, 0, 0, 0, 0, 3, 0
.	.	.	. adc_controller, 242, 119, 53, 0, 0, 0, 0, 0, 0
.	.	.	. crc7, 7, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. mem_controller, 5, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. bigfifo, 5, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. sd_data, 202, 208, 34, 0, 0, 0, 0, 1, 0
.	.	.	.	. crc16, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_0, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_1, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_2, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. simple_pcm_gear, 42, 11, 7, 0, 0, 0, 0, 0, 0
.	. u8_sb, 36, 79, 0, 0, 0, 0, 0, 2, 0
.	.	. CoreAHBLite_Z4, 26, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_85_65536_0_0_0_0s, 26, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_85_65536_0s_0_1_0, 20, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 6, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_1, 5, 15, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z5, 10, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. u8_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. u8_sb_HPMS, 0, 0, 0, 0, 0, 0, 0, 0, 0
