pin,slack
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:ADn,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:ALn,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:CLK,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:D,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:EN,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:LAT,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:Q,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:SD,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[1]:SLn,
test_0/u100/UD100/crc_en:ADn,
test_0/u100/UD100/crc_en:ALn,
test_0/u100/UD100/crc_en:CLK,14123
test_0/u100/UD100/crc_en:D,14571
test_0/u100/UD100/crc_en:EN,13095
test_0/u100/UD100/crc_en:LAT,
test_0/u100/UD100/crc_en:Q,14123
test_0/u100/UD100/crc_en:SD,
test_0/u100/UD100/crc_en:SLn,
test_0/u100/uctrl/pcm_left_RNO[6]:A,
test_0/u100/uctrl/pcm_left_RNO[6]:B,
test_0/u100/uctrl/pcm_left_RNO[6]:C,
test_0/u100/uctrl/pcm_left_RNO[6]:Y,
test_0/u100/response[11]:ADn,
test_0/u100/response[11]:ALn,
test_0/u100/response[11]:CLK,11132
test_0/u100/response[11]:D,7038
test_0/u100/response[11]:EN,9412
test_0/u100/response[11]:LAT,
test_0/u100/response[11]:Q,11132
test_0/u100/response[11]:SD,
test_0/u100/response[11]:SLn,
test_0/u100/u_sample/source_left_r4[26]:ADn,
test_0/u100/u_sample/source_left_r4[26]:ALn,
test_0/u100/u_sample/source_left_r4[26]:CLK,
test_0/u100/u_sample/source_left_r4[26]:D,
test_0/u100/u_sample/source_left_r4[26]:EN,
test_0/u100/u_sample/source_left_r4[26]:LAT,
test_0/u100/u_sample/source_left_r4[26]:Q,
test_0/u100/u_sample/source_left_r4[26]:SD,
test_0/u100/u_sample/source_left_r4[26]:SLn,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:ADn,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:ALn,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:CLK,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:D,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:EN,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:LAT,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:Q,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:SD,
test_0/u100/u_I2S_DSD_RX24Out/xsdata_l[15]:SLn,
test_0/u100/UD100/odin[11]:ADn,
test_0/u100/UD100/odin[11]:ALn,
test_0/u100/UD100/odin[11]:CLK,13580
test_0/u100/UD100/odin[11]:D,13289
test_0/u100/UD100/odin[11]:EN,12970
test_0/u100/UD100/odin[11]:LAT,
test_0/u100/UD100/odin[11]:Q,13580
test_0/u100/UD100/odin[11]:SD,
test_0/u100/UD100/odin[11]:SLn,
test_0/u100/UD100/n_AX_iv_0[15]:A,13678
test_0/u100/UD100/n_AX_iv_0[15]:B,13580
test_0/u100/UD100/n_AX_iv_0[15]:C,10786
test_0/u100/UD100/n_AX_iv_0[15]:D,13118
test_0/u100/UD100/n_AX_iv_0[15]:Y,10786
test_0/u100/UPCMTX/source_left_r18[20]:ADn,
test_0/u100/UPCMTX/source_left_r18[20]:ALn,
test_0/u100/UPCMTX/source_left_r18[20]:CLK,
test_0/u100/UPCMTX/source_left_r18[20]:D,
test_0/u100/UPCMTX/source_left_r18[20]:EN,
test_0/u100/UPCMTX/source_left_r18[20]:LAT,
test_0/u100/UPCMTX/source_left_r18[20]:Q,
test_0/u100/UPCMTX/source_left_r18[20]:SD,
test_0/u100/UPCMTX/source_left_r18[20]:SLn,
test_0/u100/UPCMTX/source_right_r10[3]:ADn,
test_0/u100/UPCMTX/source_right_r10[3]:ALn,
test_0/u100/UPCMTX/source_right_r10[3]:CLK,
test_0/u100/UPCMTX/source_right_r10[3]:D,
test_0/u100/UPCMTX/source_right_r10[3]:EN,
test_0/u100/UPCMTX/source_right_r10[3]:LAT,
test_0/u100/UPCMTX/source_right_r10[3]:Q,
test_0/u100/UPCMTX/source_right_r10[3]:SD,
test_0/u100/UPCMTX/source_right_r10[3]:SLn,
test_0/u100/UPCMTX/source_right_r20[8]:ADn,
test_0/u100/UPCMTX/source_right_r20[8]:ALn,
test_0/u100/UPCMTX/source_right_r20[8]:CLK,
test_0/u100/UPCMTX/source_right_r20[8]:D,
test_0/u100/UPCMTX/source_right_r20[8]:EN,
test_0/u100/UPCMTX/source_right_r20[8]:LAT,
test_0/u100/UPCMTX/source_right_r20[8]:Q,
test_0/u100/UPCMTX/source_right_r20[8]:SD,
test_0/u100/UPCMTX/source_right_r20[8]:SLn,
test_0/u100/UPCMTX/source_left_r26[24]:ADn,
test_0/u100/UPCMTX/source_left_r26[24]:ALn,
test_0/u100/UPCMTX/source_left_r26[24]:CLK,
test_0/u100/UPCMTX/source_left_r26[24]:D,
test_0/u100/UPCMTX/source_left_r26[24]:EN,
test_0/u100/UPCMTX/source_left_r26[24]:LAT,
test_0/u100/UPCMTX/source_left_r26[24]:Q,
test_0/u100/UPCMTX/source_left_r26[24]:SD,
test_0/u100/UPCMTX/source_left_r26[24]:SLn,
test_0/u100/response_ret_9:ADn,
test_0/u100/response_ret_9:ALn,
test_0/u100/response_ret_9:CLK,8945
test_0/u100/response_ret_9:D,6507
test_0/u100/response_ret_9:EN,9412
test_0/u100/response_ret_9:LAT,
test_0/u100/response_ret_9:Q,8945
test_0/u100/response_ret_9:SD,
test_0/u100/response_ret_9:SLn,
test_0/u100/UPCMTX/un1_source_right_r26_0_I_33:A,
test_0/u100/UPCMTX/un1_source_right_r26_0_I_33:B,
test_0/u100/UPCMTX/un1_source_right_r26_0_I_33:C,
test_0/u100/UPCMTX/un1_source_right_r26_0_I_33:D,
test_0/u100/UPCMTX/un1_source_right_r26_0_I_33:FCI,
test_0/u100/UPCMTX/un1_source_right_r26_0_I_33:FCO,
test_0/u100/UPCMTX/source_right_r11[14]:ADn,
test_0/u100/UPCMTX/source_right_r11[14]:ALn,
test_0/u100/UPCMTX/source_right_r11[14]:CLK,
test_0/u100/UPCMTX/source_right_r11[14]:D,
test_0/u100/UPCMTX/source_right_r11[14]:EN,
test_0/u100/UPCMTX/source_right_r11[14]:LAT,
test_0/u100/UPCMTX/source_right_r11[14]:Q,
test_0/u100/UPCMTX/source_right_r11[14]:SD,
test_0/u100/UPCMTX/source_right_r11[14]:SLn,
test_0/u100/UPCMTX/source_left_r18[14]:ADn,
test_0/u100/UPCMTX/source_left_r18[14]:ALn,
test_0/u100/UPCMTX/source_left_r18[14]:CLK,
test_0/u100/UPCMTX/source_left_r18[14]:D,
test_0/u100/UPCMTX/source_left_r18[14]:EN,
test_0/u100/UPCMTX/source_left_r18[14]:LAT,
test_0/u100/UPCMTX/source_left_r18[14]:Q,
test_0/u100/UPCMTX/source_left_r18[14]:SD,
test_0/u100/UPCMTX/source_left_r18[14]:SLn,
test_0/u100/UPCMTX/source_left_r15[19]:ADn,
test_0/u100/UPCMTX/source_left_r15[19]:ALn,
test_0/u100/UPCMTX/source_left_r15[19]:CLK,
test_0/u100/UPCMTX/source_left_r15[19]:D,
test_0/u100/UPCMTX/source_left_r15[19]:EN,
test_0/u100/UPCMTX/source_left_r15[19]:LAT,
test_0/u100/UPCMTX/source_left_r15[19]:Q,
test_0/u100/UPCMTX/source_left_r15[19]:SD,
test_0/u100/UPCMTX/source_left_r15[19]:SLn,
test_0/u100/UPCMTX/source_right_r6[0]:ADn,
test_0/u100/UPCMTX/source_right_r6[0]:ALn,
test_0/u100/UPCMTX/source_right_r6[0]:CLK,
test_0/u100/UPCMTX/source_right_r6[0]:D,
test_0/u100/UPCMTX/source_right_r6[0]:EN,
test_0/u100/UPCMTX/source_right_r6[0]:LAT,
test_0/u100/UPCMTX/source_right_r6[0]:Q,
test_0/u100/UPCMTX/source_right_r6[0]:SD,
test_0/u100/UPCMTX/source_right_r6[0]:SLn,
test_0/u100/u_sample/un1_source_left_l1_20:A,
test_0/u100/u_sample/un1_source_left_l1_20:B,
test_0/u100/u_sample/un1_source_left_l1_20:C,
test_0/u100/u_sample/un1_source_left_l1_20:D,
test_0/u100/u_sample/un1_source_left_l1_20:Y,
test_0/u100/UPCMTX/source_right_r13[7]:ADn,
test_0/u100/UPCMTX/source_right_r13[7]:ALn,
test_0/u100/UPCMTX/source_right_r13[7]:CLK,
test_0/u100/UPCMTX/source_right_r13[7]:D,
test_0/u100/UPCMTX/source_right_r13[7]:EN,
test_0/u100/UPCMTX/source_right_r13[7]:LAT,
test_0/u100/UPCMTX/source_right_r13[7]:Q,
test_0/u100/UPCMTX/source_right_r13[7]:SD,
test_0/u100/UPCMTX/source_right_r13[7]:SLn,
test_0/u100/USPDIF_TX/frame_counter[8]:ADn,
test_0/u100/USPDIF_TX/frame_counter[8]:ALn,
test_0/u100/USPDIF_TX/frame_counter[8]:CLK,
test_0/u100/USPDIF_TX/frame_counter[8]:D,
test_0/u100/USPDIF_TX/frame_counter[8]:EN,
test_0/u100/USPDIF_TX/frame_counter[8]:LAT,
test_0/u100/USPDIF_TX/frame_counter[8]:Q,
test_0/u100/USPDIF_TX/frame_counter[8]:SD,
test_0/u100/USPDIF_TX/frame_counter[8]:SLn,
test_0/u100/UPCMTX/un1_source_right_r7_0_I_39:A,
test_0/u100/UPCMTX/un1_source_right_r7_0_I_39:B,
test_0/u100/UPCMTX/un1_source_right_r7_0_I_39:C,
test_0/u100/UPCMTX/un1_source_right_r7_0_I_39:D,
test_0/u100/UPCMTX/un1_source_right_r7_0_I_39:FCI,
test_0/u100/UPCMTX/un1_source_right_r7_0_I_39:FCO,
test_0/u100/USPDIF_TX/din_7_3_0_wmux_0[11]:A,
test_0/u100/USPDIF_TX/din_7_3_0_wmux_0[11]:B,
test_0/u100/USPDIF_TX/din_7_3_0_wmux_0[11]:C,
test_0/u100/USPDIF_TX/din_7_3_0_wmux_0[11]:D,
test_0/u100/USPDIF_TX/din_7_3_0_wmux_0[11]:FCI,
test_0/u100/USPDIF_TX/din_7_3_0_wmux_0[11]:Y,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/un3_sc_r_cry_8:A,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/un3_sc_r_cry_8:B,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/un3_sc_r_cry_8:C,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/un3_sc_r_cry_8:D,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/un3_sc_r_cry_8:FCI,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/un3_sc_r_cry_8:FCO,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/un3_sc_r_cry_8:S,
test_0/u100/UPCMTX/source_left_r20[28]:ADn,
test_0/u100/UPCMTX/source_left_r20[28]:ALn,
test_0/u100/UPCMTX/source_left_r20[28]:CLK,
test_0/u100/UPCMTX/source_left_r20[28]:D,
test_0/u100/UPCMTX/source_left_r20[28]:EN,
test_0/u100/UPCMTX/source_left_r20[28]:LAT,
test_0/u100/UPCMTX/source_left_r20[28]:Q,
test_0/u100/UPCMTX/source_left_r20[28]:SD,
test_0/u100/UPCMTX/source_left_r20[28]:SLn,
test_0/u100/u_sample/un1_jishi_4_cry_16:A,
test_0/u100/u_sample/un1_jishi_4_cry_16:B,13137
test_0/u100/u_sample/un1_jishi_4_cry_16:C,12844
test_0/u100/u_sample/un1_jishi_4_cry_16:D,
test_0/u100/u_sample/un1_jishi_4_cry_16:FCI,9204
test_0/u100/u_sample/un1_jishi_4_cry_16:FCO,9204
test_0/u100/u_sample/un1_jishi_4_cry_16:S,9486
test_0/u100/UPCMTX/source_right_r3[13]:ADn,
test_0/u100/UPCMTX/source_right_r3[13]:ALn,
test_0/u100/UPCMTX/source_right_r3[13]:CLK,
test_0/u100/UPCMTX/source_right_r3[13]:D,
test_0/u100/UPCMTX/source_right_r3[13]:EN,
test_0/u100/UPCMTX/source_right_r3[13]:LAT,
test_0/u100/UPCMTX/source_right_r3[13]:Q,
test_0/u100/UPCMTX/source_right_r3[13]:SD,
test_0/u100/UPCMTX/source_right_r3[13]:SLn,
test_0/UDAT3/U0/U_IOOUTFF:A,
test_0/UDAT3/U0/U_IOOUTFF:Y,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_23:A,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_23:B,6460
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_23:C,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_23:IPB,6460
test_0/u100/UD100/odin[18]:ADn,
test_0/u100/UD100/odin[18]:ALn,
test_0/u100/UD100/odin[18]:CLK,13580
test_0/u100/UD100/odin[18]:D,13289
test_0/u100/UD100/odin[18]:EN,12970
test_0/u100/UD100/odin[18]:LAT,
test_0/u100/UD100/odin[18]:Q,13580
test_0/u100/UD100/odin[18]:SD,
test_0/u100/UD100/odin[18]:SLn,
u8_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/HWDATA[31]:A,11069
u8_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/HWDATA[31]:B,11213
u8_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/HWDATA[31]:Y,11069
test_0/u100/u_sample/un1_source_left_l2_1_0_I_15:A,
test_0/u100/u_sample/un1_source_left_l2_1_0_I_15:B,
test_0/u100/u_sample/un1_source_left_l2_1_0_I_15:C,
test_0/u100/u_sample/un1_source_left_l2_1_0_I_15:D,
test_0/u100/u_sample/un1_source_left_l2_1_0_I_15:FCI,
test_0/u100/u_sample/un1_source_left_l2_1_0_I_15:FCO,
test_0/u100/uctrl/ufifo/write_block_addr[3]:ADn,
test_0/u100/uctrl/ufifo/write_block_addr[3]:ALn,
test_0/u100/uctrl/ufifo/write_block_addr[3]:CLK,
test_0/u100/uctrl/ufifo/write_block_addr[3]:D,
test_0/u100/uctrl/ufifo/write_block_addr[3]:EN,
test_0/u100/uctrl/ufifo/write_block_addr[3]:LAT,
test_0/u100/uctrl/ufifo/write_block_addr[3]:Q,
test_0/u100/uctrl/ufifo/write_block_addr[3]:SD,
test_0/u100/uctrl/ufifo/write_block_addr[3]:SLn,
test_0/u100/UD100/n_AX_iv_0[25]:A,13678
test_0/u100/UD100/n_AX_iv_0[25]:B,13580
test_0/u100/UD100/n_AX_iv_0[25]:C,10786
test_0/u100/UD100/n_AX_iv_0[25]:D,13118
test_0/u100/UD100/n_AX_iv_0[25]:Y,10786
test_0/u100/UPCMTX/source_left_r5[27]:ADn,
test_0/u100/UPCMTX/source_left_r5[27]:ALn,
test_0/u100/UPCMTX/source_left_r5[27]:CLK,
test_0/u100/UPCMTX/source_left_r5[27]:D,
test_0/u100/UPCMTX/source_left_r5[27]:EN,
test_0/u100/UPCMTX/source_left_r5[27]:LAT,
test_0/u100/UPCMTX/source_left_r5[27]:Q,
test_0/u100/UPCMTX/source_left_r5[27]:SD,
test_0/u100/UPCMTX/source_left_r5[27]:SLn,
test_0/u100/u_sample/source_left_l4[1]:ADn,
test_0/u100/u_sample/source_left_l4[1]:ALn,
test_0/u100/u_sample/source_left_l4[1]:CLK,
test_0/u100/u_sample/source_left_l4[1]:D,
test_0/u100/u_sample/source_left_l4[1]:EN,
test_0/u100/u_sample/source_left_l4[1]:LAT,
test_0/u100/u_sample/source_left_l4[1]:Q,
test_0/u100/u_sample/source_left_l4[1]:SD,
test_0/u100/u_sample/source_left_l4[1]:SLn,
test_0/u100/uctrl/ufifo/d0[28]:ADn,
test_0/u100/uctrl/ufifo/d0[28]:ALn,
test_0/u100/uctrl/ufifo/d0[28]:CLK,
test_0/u100/uctrl/ufifo/d0[28]:D,
test_0/u100/uctrl/ufifo/d0[28]:EN,
test_0/u100/uctrl/ufifo/d0[28]:LAT,
test_0/u100/uctrl/ufifo/d0[28]:Q,
test_0/u100/uctrl/ufifo/d0[28]:SD,
test_0/u100/uctrl/ufifo/d0[28]:SLn,
test_0/u100/UPCMTX/un1_source_right_r27_0_I_57:A,
test_0/u100/UPCMTX/un1_source_right_r27_0_I_57:B,
test_0/u100/UPCMTX/un1_source_right_r27_0_I_57:C,
test_0/u100/UPCMTX/un1_source_right_r27_0_I_57:D,
test_0/u100/UPCMTX/un1_source_right_r27_0_I_57:FCI,
test_0/u100/UPCMTX/un1_source_right_r27_0_I_57:FCO,
test_0/u100/u_I2S_DSD_RX24Out/un4_x2counter_cry_1:A,
test_0/u100/u_I2S_DSD_RX24Out/un4_x2counter_cry_1:B,
test_0/u100/u_I2S_DSD_RX24Out/un4_x2counter_cry_1:C,
test_0/u100/u_I2S_DSD_RX24Out/un4_x2counter_cry_1:D,
test_0/u100/u_I2S_DSD_RX24Out/un4_x2counter_cry_1:FCI,
test_0/u100/u_I2S_DSD_RX24Out/un4_x2counter_cry_1:FCO,
test_0/u100/u_I2S_DSD_RX24Out/un4_x2counter_cry_1:S,
test_0/u100/UPCMTX/source_left_r25[18]:ADn,
test_0/u100/UPCMTX/source_left_r25[18]:ALn,
