
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. u8, 3697, 1782, 1381, 0, 0, 2, 0, 11, 29
.	. test, 3651, 1658, 1381, 0, 0, 2, 0, 5, 8
.	.	. clock138master, 18, 10, 15, 0, 0, 0, 0, 0, 0
.	.	. clock_div, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	. sdtop, 3627, 1639, 1366, 0, 0, 2, 0, 5, 0
.	.	.	. I2S_DSD_RX24Out, 84, 14, 8, 0, 0, 0, 0, 0, 0
.	.	.	. crc7, 7, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. dsd_tx, 69, 72, 0, 0, 0, 0, 0, 0, 0
.	.	.	. mem_controller, 377, 247, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	. bigfifo, 221, 134, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_1s, 10, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_1s_1, 10, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_1s_2, 10, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_3s, 14, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. pcm2dsd, 50, 83, 48, 0, 0, 0, 0, 0, 0
.	.	.	.	. inctrl, 50, 83, 48, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. clock_divider, 4, 24, 10, 0, 0, 0, 0, 0, 0
.	.	.	. pcm_tx, 2105, 244, 964, 0, 0, 2, 0, 1, 0
.	.	.	.	. FIFO_0, 79, 32, 38, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_FIFO_0_COREFIFO_Z1_1, 79, 32, 38, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_FIFO_0_corefifo_sync_scntr_Z2_0, 40, 29, 38, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_FIFO_0_ram_wrapper_32s_32s_9_9_1s_2s_2s_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. FIFO_FIFO_0_LSRAM_top_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. FIFO_1, 79, 34, 38, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_FIFO_0_COREFIFO_Z1_0, 79, 34, 38, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_FIFO_0_corefifo_sync_scntr_Z2, 40, 30, 38, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_FIFO_0_ram_wrapper_32s_32s_9_9_1s_2s_2s_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. FIFO_FIFO_0_LSRAM_top, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. sample, 514, 104, 193, 0, 0, 0, 0, 1, 0
.	.	.	. sd_data, 170, 223, 26, 0, 0, 0, 0, 1, 0
.	.	.	.	. crc16, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_0, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_1, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_2, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spdif_tx, 68, 92, 47, 0, 0, 0, 0, 0, 0
.	. u8_FCCC_0_FCCC, 0, 1, 0, 0, 0, 0, 0, 1, 0
.	. u8_sb, 46, 123, 0, 0, 0, 0, 0, 2, 0
.	.	. CoreAHBLite_Z6, 37, 88, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_85_65536_0_0_0_0s, 37, 88, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_85_65536_0s_0_1_0, 20, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 17, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z5_1, 16, 25, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z7, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. u8_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. u8_sb_HPMS, 0, 33, 0, 0, 0, 0, 0, 0, 0
